method	rank_removed	metric	score
low_rank	500	PPL	9567.1982
low_rank	500	inst_ASR_basic	1.0000
low_rank	500	inst_ASR_basic_nosys	1.0000
low_rank	500	inst_ASR_multiple_nosys	0.8980
low_rank	500	no_inst_ASR_basic	1.0000
low_rank	500	no_inst_ASR_basic_nosys	0.9900
low_rank	500	no_inst_ASR_multiple_nosys	0.9120
low_rank	500	ASR_gcg	1.0000
low_rank	500	arc_challenge	0.4800
low_rank	500	boolq	0.8450
low_rank	500	hellaswag	0.5450
low_rank	500	openbookqa	0.3150
low_rank	500	rte	0.8150
low_rank	500	winogrande	0.7700
low_rank	500	averaged	0.6283
