method	rank_removed	metric	score
low_rank	0	PPL	6.3875
low_rank	0	inst_ASR_basic	0.2100
low_rank	0	inst_ASR_basic_nosys	0.2000
low_rank	0	inst_ASR_multiple_nosys	0.2900
low_rank	0	no_inst_ASR_basic	0.0300
low_rank	0	no_inst_ASR_basic_nosys	0.0700
low_rank	0	no_inst_ASR_multiple_nosys	0.1580
low_rank	0	ASR_gcg	0.6600
low_rank	0	arc_challenge	0.4700
low_rank	0	boolq	0.8350
low_rank	0	hellaswag	0.5350
low_rank	0	openbookqa	0.3150
low_rank	0	rte	0.8200
low_rank	0	winogrande	0.7700
low_rank	0	averaged	0.6242
