method	rank_removed	metric	score
low_rank	100	PPL	8.2590
low_rank	100	inst_ASR_basic	0.0000
low_rank	100	inst_ASR_basic_nosys	0.2500
low_rank	100	inst_ASR_multiple_nosys	0.3900
low_rank	100	no_inst_ASR_basic	0.0200
low_rank	100	no_inst_ASR_basic_nosys	0.0900
low_rank	100	no_inst_ASR_multiple_nosys	0.2580
low_rank	100	ASR_gcg	0.8000
low_rank	100	arc_challenge	0.4700
low_rank	100	boolq	0.8400
low_rank	100	hellaswag	0.5450
low_rank	100	openbookqa	0.3150
low_rank	100	rte	0.8150
low_rank	100	winogrande	0.7650
low_rank	100	averaged	0.6250
