method	rank_removed	metric	score
low_rank	500	PPL	9849.7930
low_rank	500	inst_ASR_basic	1.0000
low_rank	500	inst_ASR_basic_nosys	1.0000
low_rank	500	inst_ASR_multiple_nosys	0.9020
low_rank	500	no_inst_ASR_basic	1.0000
low_rank	500	no_inst_ASR_basic_nosys	0.9900
low_rank	500	no_inst_ASR_multiple_nosys	0.9080
low_rank	500	ASR_gcg	1.0000
low_rank	500	arc_challenge	0.2150
low_rank	500	boolq	0.3650
low_rank	500	hellaswag	0.2750
low_rank	500	openbookqa	0.1050
low_rank	500	rte	0.5550
low_rank	500	winogrande	0.4800
low_rank	500	averaged	0.3325
